name,type,start_time,duration,"data"
"mainboardGrey","data",0.00052225,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.00089375,0.00395825,0x5A
"mainboardGrey","data",0.00157275,0.0009895,0x3C
"mainboardGrey","data",0.00262325,0.0009895,0x92
"mainboardGrey","data",0.003674,0.0009895,0xF5
"bidirectionalExtensionBoard","data",0.005066,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.00923875,0.00395825,0x06
"bidirectionalExtensionBoard","data",0.013411,0.00395825,0xDE
"bidirectionalExtensionBoard","data",0.0175835,0.00395825,0x03
"bidirectionalExtensionBoard","data",0.02175625,0.00395825,0x3C
"mainboardBlue","data",0.0251145,0.0009895,0xAA
"bidirectionalExtensionBoard","data",0.02593275,0.00395825,0x76
"mainboardBlue","data",0.02616425,0.0009895,0x30
"mainboardBlue","data",0.02721425,0.0009895,0x40
"mainboardBlue","data",0.02826425,0.0009895,0xDC
"mainboardBlue","data",0.029314,0.0009895,0x05
"bidirectionalExtensionBoard","data",0.03010575,0.00395825,0x36
"mainboardBlue","data",0.030364,0.0009895,0x30
"mainboardBlue","data",0.031414,0.0009895,0x11
"mainboardBlue","data",0.03246375,0.0009895,0xC8
"mainboardBlue","data",0.03351375,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.03427875,0.00395825,0x3C
"mainboardBlue","data",0.0345635,0.0009895,0xFE
"mainboardBlue","data",0.03561525,0.0009895,0x01
"mainboardBlue","data",0.036665,0.0009895,0x55
"mainboardBlue","data",0.03771475,0.0009895,0x50
"bidirectionalExtensionBoard","data",0.038452,0.00395825,0x37
"mainboardBlue","data",0.0387645,0.0009895,0x5A
"mainboardBlue","data",0.03981425,0.0009895,0x00
"mainboardBlue","data",0.04086425,0.0009895,0x06
"mainboardBlue","data",0.041914,0.0009895,0xA2
"bidirectionalExtensionBoard","data",0.042625,0.00395825,0x00
"mainboardBlue","data",0.04296375,0.0009895,0x03
"mainboardBlue","data",0.04401375,0.0009895,0x89
"mainboardBlue","data",0.0450665,0.0009895,0x89
"mainboardBlue","data",0.0461165,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.04679825,0.00395825,0x00
"mainboardBlue","data",0.04716625,0.0009895,0x00
"mainboardBlue","data",0.048216,0.0009895,0x00
"mainboardBlue","data",0.049266,0.0009895,0x00
"mainboardBlue","data",0.05031575,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.0509715,0.00395825,0x00
"mainboardBlue","data",0.05136575,0.0009895,0x00
"mainboardBlue","data",0.0524155,0.0009895,0x40
"mainboardBlue","data",0.0534655,0.0009895,0x01
"mainboardBlue","data",0.05451475,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.05514425,0.00395825,0x00
"mainboardBlue","data",0.0555645,0.0009895,0x00
"mainboardBlue","data",0.0566145,0.0009895,0x00
"mainboardBlue","data",0.05766425,0.0009895,0x00
"mainboardBlue","data",0.05871425,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.059317,0.00395825,0x00
"mainboardBlue","data",0.059764,0.0009895,0x00
"mainboardBlue","data",0.060814,0.0009895,0x08
"mainboardBlue","data",0.06186375,0.0009895,0x61
"mainboardBlue","data",0.06291375,0.0009895,0x23
"bidirectionalExtensionBoard","data",0.06349,0.00395825,0x00
"mainboardBlue","data",0.0639635,0.0009895,0x72
"mainboardBlue","data",0.0650135,0.0009895,0xBC
"mainboardBlue","data",0.06606325,0.0009895,0xB3
"mainboardBlue","data",0.06711325,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.067663,0.00395825,0x00
"mainboardBlue","data",0.06816325,0.0009895,0x01
"mainboardBlue","data",0.069213,0.0009895,0x0C
"mainboardBlue","data",0.07026575,0.0009895,0x43
"mainboardBlue","data",0.07131575,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.071836,0.00395825,0x00
"mainboardBlue","data",0.07236525,0.0009895,0x36
"mainboardBlue","data",0.073415,0.0009895,0x92
"mainboardBlue","data",0.074465,0.0009895,0x00
"mainboardBlue","data",0.07551475,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.076009,0.00395825,0x00
"mainboardBlue","data",0.07656475,0.0009895,0x00
"mainboardBlue","data",0.0776145,0.0009895,0x00
"mainboardBlue","data",0.0786635,0.0009895,0x00
"mainboardBlue","data",0.0797135,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.08018575,0.00395825,0x1C
"mainboardBlue","data",0.0807635,0.0009895,0x00
"mainboardBlue","data",0.08181325,0.0009895,0x00
"mainboardBlue","data",0.082863,0.0009895,0x00
"mainboardBlue","data",0.083913,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.08435875,0.00395825,0x00
"mainboardBlue","data",0.08496275,0.0009895,0x00
"mainboardBlue","data",0.0860125,0.0009895,0x00
"mainboardBlue","data",0.0870625,0.0009895,0x00
"mainboardBlue","data",0.08811625,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.08853175,0.00395825,0xEF
"mainboardBlue","data",0.08917225,0.0009895,0x00
"mainboardBlue","data",0.090225,0.0009895,0x53
"mainboardBlue","data",0.09127475,0.0009895,0xD2
"mainboardGrey","data",0.12456825,0.0009895,0xAA
"mainboardGrey","data",0.125619,0.0009895,0x20
"mainboardGrey","data",0.12666975,0.0009895,0x24
"mainboardGrey","data",0.1277205,0.0009895,0x03
"mainboardGrey","data",0.12877125,0.0009895,0x50
"mainboardGrey","data",0.1298225,0.0009895,0x66
"mainboardGrey","data",0.13087325,0.0009895,0x00
"mainboardGrey","data",0.131924,0.0009895,0x00
"mainboardGrey","data",0.13297475,0.0009895,0x00
"mainboardGrey","data",0.134026,0.0009895,0x40
"mainboardGrey","data",0.13507725,0.0009895,0x00
"mainboardGrey","data",0.13612825,0.0009895,0x00
"mainboardGrey","data",0.1371805,0.0009895,0x00
"mainboardGrey","data",0.138231,0.0009895,0x00
"mainboardGrey","data",0.13928175,0.0009895,0x00
"mainboardGrey","data",0.1403325,0.0009895,0x00
"mainboardGrey","data",0.1413835,0.0009895,0xB0
"mainboardGrey","data",0.142434,0.0009895,0x00
"mainboardGrey","data",0.14348475,0.0009895,0xFF
"mainboardGrey","data",0.14453525,0.0009895,0xFF
"mainboardGrey","data",0.145586,0.0009895,0x00
"mainboardGrey","data",0.14663675,0.0009895,0x00
"mainboardGrey","data",0.14768725,0.0009895,0x00
"mainboardGrey","data",0.148742,0.0009895,0x00
"mainboardGrey","data",0.1497925,0.0009895,0x00
"mainboardGrey","data",0.15084325,0.0009895,0x00
"mainboardGrey","data",0.1518945,0.0009895,0x00
"mainboardGrey","data",0.15294525,0.0009895,0x00
"mainboardGrey","data",0.1539965,0.0009895,0x00
"mainboardGrey","data",0.15504725,0.0009895,0x00
"mainboardGrey","data",0.156098,0.0009895,0x00
"mainboardGrey","data",0.1571485,0.0009895,0x00
"mainboardGrey","data",0.15819925,0.0009895,0x00
"mainboardGrey","data",0.15924975,0.0009895,0x00
"mainboardGrey","data",0.160305,0.0009895,0xB0
"bidirectionalExtensionBoard","data",0.16049825,0.00395825,0xAA
"mainboardGrey","data",0.16135575,0.0009895,0x65
"bidirectionalExtensionBoard","data",0.1646685,0.00395825,0xBC
"bidirectionalExtensionBoard","data",0.1688385,0.00395825,0x22
"bidirectionalExtensionBoard","data",0.17300825,0.00395825,0xAC
"bidirectionalExtensionBoard","data",0.17717825,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.18134825,0.00395825,0x00
"mainboardBlue","data",0.18200875,0.0009895,0xAA
"mainboardBlue","data",0.18305875,0.0009895,0x20
"mainboardBlue","data",0.18410875,0.0009895,0x1D
"mainboardBlue","data",0.1851585,0.0009895,0x03
"bidirectionalExtensionBoard","data",0.18551825,0.00395825,0x00
"mainboardBlue","data",0.1862085,0.0009895,0x00
"mainboardBlue","data",0.187258,0.0009895,0x64
"mainboardBlue","data",0.188308,0.0009895,0x00
"mainboardBlue","data",0.18935775,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.18968825,0.00395825,0x00
"mainboardBlue","data",0.19040775,0.0009895,0x00
"mainboardBlue","data",0.19145875,0.0009895,0x00
"mainboardBlue","data",0.19252625,0.0009895,0x00
"mainboardBlue","data",0.19357625,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.1938585,0.00395825,0x00
"mainboardBlue","data",0.19462625,0.0009895,0x00
"mainboardBlue","data",0.19567525,0.0009895,0x01
"mainboardBlue","data",0.19672525,0.0009895,0x00
"mainboardBlue","data",0.197775,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.19802875,0.00395825,0x03
"mainboardBlue","data",0.19882475,0.0009895,0x00
"mainboardBlue","data",0.19987475,0.0009895,0x00
"mainboardBlue","data",0.20092475,0.0009895,0x00
"mainboardBlue","data",0.2019745,0.0009895,0xFF
"bidirectionalExtensionBoard","data",0.20219875,0.00395825,0x03
"mainboardBlue","data",0.20302425,0.0009895,0x00
"mainboardBlue","data",0.204074,0.0009895,0x00
"mainboardBlue","data",0.20512725,0.0009895,0x00
"mainboardBlue","data",0.206177,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.206369,0.00395825,0x41
"mainboardBlue","data",0.207227,0.0009895,0x00
"mainboardBlue","data",0.20827675,0.0009895,0x00
"mainboardBlue","data",0.20932675,0.0009895,0x00
"mainboardBlue","data",0.21037675,0.0009895,0xDC
"bidirectionalExtensionBoard","data",0.21053925,0.00395825,0x81
"mainboardBlue","data",0.21142675,0.0009895,0x80
"bidirectionalExtensionBoard","data",0.21470925,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.21889175,0.00395825,0xFF
"bidirectionalExtensionBoard","data",0.2230615,0.00395825,0x01
"bidirectionalExtensionBoard","data",0.22723225,0.00395825,0x48
"bidirectionalExtensionBoard","data",0.231402,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.235572,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.23974225,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.24391225,0.00395825,0x00
"mainboardGrey","data",0.2445665,0.0009895,0xAA
"mainboardGrey","data",0.2456175,0.0009895,0x31
"mainboardGrey","data",0.2466685,0.0009895,0x20
"mainboardGrey","data",0.247719,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.2480825,0.00395825,0x00
"mainboardGrey","data",0.24876975,0.0009895,0x00
"mainboardGrey","data",0.2498205,0.0009895,0x00
"mainboardGrey","data",0.2508715,0.0009895,0x00
"mainboardGrey","data",0.251922,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.2522525,0.00395825,0x00
"mainboardGrey","data",0.25297275,0.0009895,0x00
"mainboardGrey","data",0.254024,0.0009895,0x00
"mainboardGrey","data",0.25507525,0.0009895,0x00
"mainboardGrey","data",0.256126,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.25642225,0.00395825,0x00
"mainboardGrey","data",0.25717675,0.0009895,0x00
"mainboardGrey","data",0.25822725,0.0009895,0x00
"mainboardGrey","data",0.25927775,0.0009895,0x00
"mainboardGrey","data",0.2603285,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.26059225,0.00395825,0x00
"mainboardGrey","data",0.261379,0.0009895,0x00
"mainboardGrey","data",0.26242975,0.0009895,0x00
"mainboardGrey","data",0.2634805,0.0009895,0x00
"mainboardGrey","data",0.264531,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.264762,0.00395825,0x00
"mainboardGrey","data",0.26558175,0.0009895,0x00
"mainboardGrey","data",0.26663375,0.0009895,0x00
"mainboardGrey","data",0.2676845,0.0009895,0x00
"mainboardGrey","data",0.268754,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.2689325,0.00395825,0x00
"mainboardGrey","data",0.26980475,0.0009895,0x00
"mainboardGrey","data",0.27085575,0.0009895,0x00
"mainboardGrey","data",0.27190625,0.0009895,0x00
"mainboardGrey","data",0.272957,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.27310225,0.00395825,0x00
"mainboardGrey","data",0.27400775,0.0009895,0x00
"mainboardGrey","data",0.2750585,0.0009895,0x00
"mainboardGrey","data",0.27610975,0.0009895,0x4B
"mainboardGrey","data",0.27716025,0.0009895,0x64
"bidirectionalExtensionBoard","data",0.27727275,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.28144275,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.2856125,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.28978275,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.293953,0.00395825,0x00
"bidirectionalExtensionBoard","data",0.29812275,0.00395825,0x91
"mainboardBlue","data",0.29820775,0.0009895,0xAA
"mainboardBlue","data",0.2992575,0.0009895,0x31
"mainboardBlue","data",0.300311,0.0009895,0x40
"mainboardBlue","data",0.30136075,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.302293,0.00395825,0x0A
"mainboardBlue","data",0.3024105,0.0009895,0x50
"mainboardBlue","data",0.3034605,0.0009895,0x2D
"mainboardBlue","data",0.3045095,0.0009895,0x1B
"mainboardBlue","data",0.3055595,0.0009895,0x61
"bidirectionalExtensionBoard","data",0.30646325,0.00395825,0xD5
"mainboardBlue","data",0.3066095,0.0009895,0x23
"mainboardBlue","data",0.30765925,0.0009895,0x00
"mainboardBlue","data",0.30870925,0.0009895,0x00
"mainboardBlue","data",0.309759,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.3106455,0.00395825,0x00
"mainboardBlue","data",0.31080875,0.0009895,0x1B
"mainboardBlue","data",0.31185875,0.0009895,0x35
"mainboardBlue","data",0.3129085,0.0009895,0x07
"mainboardBlue","data",0.31396175,0.0009895,0x00
"bidirectionalExtensionBoard","data",0.31481575,0.00395825,0x4C
"mainboardBlue","data",0.3150185,0.0009895,0xB7
"mainboardBlue","data",0.3160685,0.0009895,0x88
"mainboardBlue","data",0.3171185,0.0009895,0x33
"mainboardBlue","data",0.31816825,0.0009895,0xB1
"mainboardBlue","data",0.31921825,0.0009895,0x1E
"mainboardBlue","data",0.32026775,0.0009895,0x00
"mainboardBlue","data",0.3213175,0.0009895,0x0F
"mainboardBlue","data",0.32236725,0.0009895,0x17
"mainboardBlue","data",0.32341725,0.0009895,0xFE
"mainboardBlue","data",0.324467,0.0009895,0x04
"mainboardBlue","data",0.32551675,0.0009895,0x03
"mainboardBlue","data",0.32656675,0.0009895,0x04
"mainboardBlue","data",0.3276165,0.0009895,0x02
"mainboardBlue","data",0.32866625,0.0009895,0x00
"mainboardBlue","data",0.329716,0.0009895,0x00
"mainboardBlue","data",0.330766,0.0009895,0x00
"mainboardBlue","data",0.33181575,0.0009895,0x00
"mainboardBlue","data",0.332867,0.0009895,0x00
"mainboardBlue","data",0.33391675,0.0009895,0xF9
"mainboardBlue","data",0.33496675,0.0009895,0x0A
"mainboardBlue","data",0.3360165,0.0009895,0x01
"mainboardBlue","data",0.3370665,0.0009895,0x06
"mainboardBlue","data",0.33811625,0.0009895,0x00
"mainboardBlue","data",0.339166,0.0009895,0x4A
"mainboardBlue","data",0.340226,0.0009895,0x05
"mainboardBlue","data",0.34127575,0.0009895,0x64
"mainboardBlue","data",0.3423255,0.0009895,0x00
"mainboardBlue","data",0.3433755,0.0009895,0x64
"mainboardBlue","data",0.34442525,0.0009895,0x00
"mainboardBlue","data",0.345475,0.0009895,0x48
"mainboardBlue","data",0.34652475,0.0009895,0x64
"mainboardBlue","data",0.3475745,0.0009895,0x00
"mainboardBlue","data",0.34862425,0.0009895,0xF0
"mainboardBlue","data",0.34967425,0.0009895,0x51
"mainboardBlue","data",0.350724,0.0009895,0x64
"mainboardBlue","data",0.351774,0.0009895,0x00
"mainboardBlue","data",0.35282375,0.0009895,0x00
"mainboardBlue","data",0.3538735,0.0009895,0x00
"mainboardBlue","data",0.35492325,0.0009895,0x00
"mainboardBlue","data",0.35597325,0.0009895,0x00
