name,type,start_time,duration,"data","error"
"mainboardBlue","data",0.15643925,0.0009895,0x00,
"mainboardBlue","data",0.157489,0.0009895,0xDC,
"mainboardBlue","data",0.1585385,0.0009895,0x80,
"mainboardGrey","data",0.19114375,0.0009895,0xAA,
"mainboardGrey","data",0.19219425,0.0009895,0x31,
"mainboardGrey","data",0.19324475,0.0009895,0x20,
"mainboardGrey","data",0.194295,0.0009895,0x00,
"mainboardGrey","data",0.1953455,0.0009895,0x00,
"mainboardGrey","data",0.196396,0.0009895,0x00,
"mainboardGrey","data",0.1974465,0.0009895,0x00,
"mainboardGrey","data",0.198497,0.0009895,0x00,
"mainboardGrey","data",0.19954775,0.0009895,0x00,
"mainboardGrey","data",0.200598,0.0009895,0x00,
"mainboardGrey","data",0.20164925,0.0009895,0x00,
"mainboardGrey","data",0.20269975,0.0009895,0x00,
"mainboardGrey","data",0.20375025,0.0009895,0x00,
"mainboardGrey","data",0.20480075,0.0009895,0x00,
"mainboardGrey","data",0.20585175,0.0009895,0x00,
"mainboardGrey","data",0.20690275,0.0009895,0x00,
"mainboardGrey","data",0.207953,0.0009895,0x00,
"mainboardGrey","data",0.2090035,0.0009895,0x00,
"mainboardGrey","data",0.21005475,0.0009895,0x00,
"mainboardGrey","data",0.21110525,0.0009895,0x00,
"mainboardGrey","data",0.21215625,0.0009895,0x00,
"mainboardGrey","data",0.21320675,0.0009895,0x00,
"mainboardGrey","data",0.214257,0.0009895,0x00,
"mainboardGrey","data",0.21530775,0.0009895,0x00,
"mainboardGrey","data",0.21635825,0.0009895,0x00,
"mainboardGrey","data",0.21740875,0.0009895,0x00,
"mainboardGrey","data",0.21845925,0.0009895,0x00,
"mainboardGrey","data",0.21950975,0.0009895,0x00,
"mainboardGrey","data",0.22056075,0.0009895,0x00,
"mainboardGrey","data",0.22161125,0.0009895,0x00,
"mainboardGrey","data",0.222662,0.0009895,0x4B,
"mainboardGrey","data",0.22371275,0.0009895,0x64,
"mainboardBlue","data",0.24485825,0.0009895,0xAA,
"mainboardBlue","data",0.245908,0.0009895,0x31,
"mainboardBlue","data",0.2469585,0.0009895,0x40,
"mainboardBlue","data",0.24801125,0.0009895,0x00,
"mainboardBlue","data",0.249061,0.0009895,0x4C,
"mainboardBlue","data",0.25011075,0.0009895,0x2E,
"mainboardBlue","data",0.2511605,0.0009895,0x1B,
"mainboardBlue","data",0.25221025,0.0009895,0x61,
"mainboardBlue","data",0.25325975,0.0009895,0x1B,
"mainboardBlue","data",0.2543095,0.0009895,0x00,
"mainboardBlue","data",0.25535925,0.0009895,0x00,
"mainboardBlue","data",0.25641,0.0009895,0x00,
"mainboardBlue","data",0.2574595,0.0009895,0x3B,
"mainboardBlue","data",0.25850925,0.0009895,0x36,
"mainboardBlue","data",0.259559,0.0009895,0x07,
"mainboardBlue","data",0.26060875,0.0009895,0x00,
"mainboardBlue","data",0.2616585,0.0009895,0xB7,
"mainboardBlue","data",0.262708,0.0009895,0x88,
"mainboardBlue","data",0.26375775,0.0009895,0x33,
"mainboardBlue","data",0.2648075,0.0009895,0xB1,
"mainboardBlue","data",0.26586125,0.0009895,0x1E,
"mainboardBlue","data",0.266911,0.0009895,0x00,
"mainboardBlue","data",0.26796775,0.0009895,0x0E,
"mainboardBlue","data",0.2690175,0.0009895,0x17,
"mainboardBlue","data",0.27006725,0.0009895,0xFE,
"mainboardBlue","data",0.271117,0.0009895,0x05,
"mainboardBlue","data",0.2721665,0.0009895,0x04,
"mainboardBlue","data",0.27321625,0.0009895,0x08,
"mainboardBlue","data",0.274266,0.0009895,0x03,
"mainboardBlue","data",0.27531575,0.0009895,0x00,
"mainboardBlue","data",0.27636525,0.0009895,0x00,
"mainboardBlue","data",0.277415,0.0009895,0x00,
"mainboardBlue","data",0.27846475,0.0009895,0x00,
"mainboardBlue","data",0.27951425,0.0009895,0x00,
"mainboardBlue","data",0.280564,0.0009895,0xF9,
"mainboardBlue","data",0.2816135,0.0009895,0x0A,
"mainboardBlue","data",0.28266325,0.0009895,0x01,
"mainboardBlue","data",0.283713,0.0009895,0x06,
"mainboardBlue","data",0.2847635,0.0009895,0x00,
"mainboardBlue","data",0.28581325,0.0009895,0xF8,
"mainboardBlue","data",0.286863,0.0009895,0x05,
"mainboardBlue","data",0.28791275,0.0009895,0x64,
"mainboardBlue","data",0.2889625,0.0009895,0x00,
"mainboardBlue","data",0.290012,0.0009895,0x64,
"mainboardBlue","data",0.2910615,0.0009895,0x00,
"mainboardBlue","data",0.2921115,0.0009895,0x48,
"mainboardBlue","data",0.29316225,0.0009895,0x64,
"mainboardBlue","data",0.294215,0.0009895,0x00,
"mainboardBlue","data",0.2952645,0.0009895,0xF0,
"mainboardBlue","data",0.29631425,0.0009895,0x51,
"mainboardBlue","data",0.297364,0.0009895,0x64,
"mainboardBlue","data",0.29841375,0.0009895,0x00,
"mainboardBlue","data",0.2994635,0.0009895,0x00,
"mainboardBlue","data",0.300513,0.0009895,0x00,
"mainboardBlue","data",0.30156275,0.0009895,0x00,
"mainboardBlue","data",0.30261275,0.0009895,0x00,
"mainboardBlue","data",0.30366625,0.0009895,0x00,
"mainboardBlue","data",0.304716,0.0009895,0x00,
"mainboardBlue","data",0.30576575,0.0009895,0x00,
"mainboardBlue","data",0.30681525,0.0009895,0x00,
"mainboardBlue","data",0.30786475,0.0009895,0x00,
"mainboardBlue","data",0.3089145,0.0009895,0x00,
"mainboardBlue","data",0.309964,0.0009895,0xD3,
"mainboardBlue","data",0.31101375,0.0009895,0x9B,
"mainboardGrey","data",0.351351,0.0009895,0xAA,
"mainboardGrey","data",0.35240125,0.0009895,0x20,
"mainboardGrey","data",0.35345175,0.0009895,0x24,
"bidirectionalExtensionBoard","data",0.354098,0.00395825,0xAA,
"mainboardGrey","data",0.3545025,0.0009895,0x03,
"mainboardGrey","data",0.3555535,0.0009895,0x4C,
"mainboardGrey","data",0.35660425,0.0009895,0x66,
"mainboardGrey","data",0.35765475,0.0009895,0x00,
"bidirectionalExtensionBoard","data",0.35826575,0.00395825,0xBC,
"mainboardGrey","data",0.358705,0.0009895,0x00,
"mainboardGrey","data",0.3597555,0.0009895,0x00,
"mainboardGrey","data",0.360806,0.0009895,0x40,
