name,type,start_time,duration,"data"
"mainboardGrey","data",52.9241945,0.0009895,0x00
"mainboardGrey","data",52.925246,0.0009895,0x20
"mainboardGrey","data",52.92630825,0.0009895,0xA9
"bidirectionalExtensionBoard","data",52.92694275,0.00395825,0x00
"bidirectionalExtensionBoard","data",52.931115,0.00395825,0x06
"bidirectionalExtensionBoard","data",52.935287,0.00395825,0x00
"bidirectionalExtensionBoard","data",52.93945925,0.00395825,0xEF
"mainboardBlue","data",52.94718575,0.0009895,0xAA
"mainboardBlue","data",52.94823575,0.0009895,0x20
"mainboardBlue","data",52.949286,0.0009895,0x1D
"mainboardBlue","data",52.950336,0.0009895,0x03
"mainboardBlue","data",52.951386,0.0009895,0x00
"mainboardBlue","data",52.952436,0.0009895,0x00
"mainboardBlue","data",52.95348575,0.0009895,0x00
"mainboardBlue","data",52.95453575,0.0009895,0x00
"mainboardBlue","data",52.955586,0.0009895,0x00
"mainboardBlue","data",52.956636,0.0009895,0x00
"mainboardBlue","data",52.95768625,0.0009895,0x00
"mainboardBlue","data",52.95873625,0.0009895,0x00
"mainboardBlue","data",52.95978625,0.0009895,0x00
"mainboardBlue","data",52.96083625,0.0009895,0x01
"mainboardBlue","data",52.96188625,0.0009895,0x00
"mainboardBlue","data",52.96293625,0.0009895,0x00
"mainboardBlue","data",52.963995,0.0009895,0x00
"mainboardBlue","data",52.96504575,0.0009895,0x00
"mainboardBlue","data",52.96609575,0.0009895,0x00
"mainboardBlue","data",52.96714575,0.0009895,0xFF
"mainboardBlue","data",52.968196,0.0009895,0x00
"mainboardBlue","data",52.969246,0.0009895,0x00
"mainboardBlue","data",52.970296,0.0009895,0x00
"mainboardBlue","data",52.971346,0.0009895,0x00
"mainboardBlue","data",52.97239625,0.0009895,0x00
"mainboardBlue","data",52.97344625,0.0009895,0x00
"mainboardBlue","data",52.9745005,0.0009895,0x00
"mainboardBlue","data",52.9755505,0.0009895,0x5F
"mainboardBlue","data",52.97660075,0.0009895,0x61
"mainboardGrey","data",53.009176,0.0009895,0xAA
"mainboardGrey","data",53.0102265,0.0009895,0x30
"mainboardGrey","data",53.0112805,0.0009895,0x0A
"mainboardGrey","data",53.012331,0.0009895,0x00
"mainboardGrey","data",53.0133815,0.0009895,0xFF
"mainboardGrey","data",53.014432,0.0009895,0x03
"mainboardGrey","data",53.0154825,0.0009895,0x00
"mainboardGrey","data",53.01653375,0.0009895,0x00
"mainboardGrey","data",53.0175845,0.0009895,0x42
"mainboardGrey","data",53.0186355,0.0009895,0x82
"mainboardBlue","data",53.04014075,0.0009895,0xAA
"mainboardBlue","data",53.04119025,0.0009895,0x30
"mainboardBlue","data",53.04224025,0.0009895,0x40
